STATE,ST_CASE,PERMVIT,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,ROUTE,TWAY_ID,TWAY_ID2,MILEPT,LATITUDE,LONGITUD,SP_JUR,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,DRUNK_DR
1,10131,2,93,0,24,3,2015,3,19,40,4,CR-63,,0,34.004025,-87.74586944,0,88,88,88,88,88,88,0
1,10132,3,89,1970,26,3,2015,5,4,36,6,WALL TRIANA HWY,GILLESPIE RD,0,34.72875556,-86.75015278,0,99,99,4,43,99,99,0
1,10133,2,97,0,26,3,2015,5,8,25,4,CR-CELESTE RD,,0,31.00971111,-88.15887222,0,99,99,8,53,88,88,0
1,10134,2,55,0,27,3,2015,6,23,35,2,US-SR 74,SR-179,1202,34.05098889,-86.18392778,0,99,99,23,46,99,99,0
1,10135,3,15,0,27,3,2015,6,21,45,4,CR-CHOCCOLOCCO RD,,0,33.650575,-85.74323889,0,99,99,21,58,99,99,1
1,10136,2,125,0,28,3,2015,7,4,45,4,CR-NORTHSIDE ROAD,,0,33.48036667,-87.59326389,0,99,99,5,0,99,99,1
1,10137,2,73,350,30,3,2015,2,19,15,6,NORTHLAND AVENUE SOUTHWEST,,0,33.47045,-86.87328889,0,99,99,19,27,99,99,0
1,10138,4,55,2822,3,4,2015,6,19,50,3,SR-77,,993,33.90453611,-86.02566667,0,99,99,19,52,99,99,0
1,10139,4,43,830,3,4,2015,6,11,29,3,SR-157,,0,34.21063056,-86.88754444,0,99,99,11,39,99,99,0
1,10140,3,117,0,4,4,2015,7,18,30,4,CR-47,,0,33.32356944,-86.61827778,0,99,99,18,33,99,99,1
1,10141,14,53,0,2,4,2015,5,16,50,1,I-65,,688,31.19800278,-87.31778056,0,99,99,16,53,99,99,0
1,10142,2,69,0,21,3,2015,7,20,15,4,CR-S ROCKY CREEK RD,,0,31.06918889,-85.26763889,0,99,99,21,17,99,99,1
1,10143,2,101,2130,23,3,2015,2,0,38,6,TROY HWY,VIRGINIA LOOP RD,0,32.32344444,-86.23832778,0,99,99,0,44,88,88,2
1,10144,4,101,2130,24,3,2015,3,19,48,6,DAY ST,BIRMINGHAM HWY,0,32.36861667,-86.35498056,0,99,99,20,15,99,99,1
1,10145,3,55,1280,24,3,2015,3,20,0,3,SR-77,I-59 RAMP,1075,33.996975,-86.09063611,0,99,99,20,5,99,99,0
1,10146,4,49,2564,28,3,2015,7,20,4,6,MAIN ST,LOVE RD,0,34.47056667,-85.78625,0,99,99,20,7,99,99,1
1,10147,2,25,0,1,4,2015,4,16,43,4,CR-44,,0,31.90763611,-87.81741111,0,99,99,17,0,99,99,0
1,10148,2,71,0,3,4,2015,6,8,50,4,CR-93,,0,34.91848333,-85.64063611,0,99,99,9,17,99,99,0
1,10149,1,77,0,3,4,2015,6,19,5,3,SR-157,,800,34.87791389,-87.71029444,0,99,99,19,18,88,88,1
1,10150,2,71,0,5,4,2015,1,11,40,3,SR-40,,36,34.63410278,-85.93313056,0,99,99,11,55,99,99,0
1,10151,1,11,0,4,4,2015,7,15,0,3,SR-110,,163,32.26690278,-85.95272222,0,99,99,17,29,88,88,1
1,10152,2,125,0,6,4,2015,2,6,25,3,SR-69,,1713,33.52636111,-87.47221944,0,99,99,6,42,88,88,0
1,10153,6,51,3270,6,4,2015,2,17,25,2,US-SR 9,,0,32.47788056,-86.19813611,0,99,99,17,29,99,99,0
1,10154,1,73,0,16,2,2015,2,11,45,4,CR-SARDIS RD,,0,33.73637778,-86.86807222,0,99,99,12,1,99,99,0
1,10155,3,73,350,30,3,2015,2,20,50,3,SR-75,,23,33.61813611,-86.685,0,99,99,20,58,99,99,0
1,10156,1,97,2716,17,4,2015,6,13,42,1,I-65,,197,30.87624722,-88.04591944,0,99,99,13,56,88,88,0
1,10157,2,101,2130,27,3,2015,6,5,20,1,I-65,,1706,32.36128333,-86.32179722,0,99,99,5,31,99,99,0
1,10158,3,73,0,6,4,2015,2,17,22,4,CR-ROCK CREEK RD,,0,33.48549444,-87.03136944,0,99,99,99,99,99,99,0
1,10159,1,127,2400,12,2,2015,5,11,42,3,SR-269,,340,33.76413611,-87.27437778,0,99,99,12,0,99,99,0
1,10160,1,73,330,14,3,2015,7,22,9,6,DARTMOUTH AVE,CAROLINA TER,0,33.408075,-86.93732778,0,99,99,22,16,99,99,0
1,10161,3,109,3040,30,3,2015,2,15,27,2,US-SR 53,RIVERVIEW DR,796,31.83838056,-85.99281389,0,99,99,15,31,99,99,0
1,10162,1,113,2440,2,4,2015,5,6,5,6,SUMMERVILLE ROAD,36TH ST,0,32.49611111,-85.01460278,0,99,99,6,12,99,99,0
1,10163,2,101,2130,4,4,2015,7,5,50,2,US-SR 6,NARROWLANE ROAD,1561,32.32692222,-86.28206944,0,99,99,6,6,99,99,0
1,10164,2,53,0,6,4,2015,2,14,35,4,CR-55,,0,31.04196944,-87.03546944,0,14,33,14,45,15,12,0
1,10165,3,43,0,6,4,2015,2,14,20,2,US-SR 3,,3190,34.08569167,-86.79316389,0,14,17,14,22,15,13,0
1,10166,1,81,200,10,4,2015,6,3,15,6,FOSTER ST,CLARK AVE,0,32.61595,-85.49899167,0,3,20,3,25,88,88,1
1,10167,1,125,718,11,4,2015,7,23,45,4,CR-COVERED BRIDGE ROAD,,0,33.17655278,-87.30551667,0,99,99,0,9,88,88,1
1,10168,2,51,2940,12,4,2015,1,0,51,3,SR-14,LAUREL ST,1880,32.56443611,-85.93123889,0,99,99,0,57,99,99,1
1,10169,3,89,0,13,4,2015,2,12,10,3,SR-53,OLD RAILROAD BED RD,3321,34.88471111,-86.73896944,0,12,12,12,32,13,6,0
1,10170,4,113,0,8,4,2015,4,20,23,2,US-SR 1,CUTCHIN DR,989,32.29946111,-85.18006944,0,99,99,20,35,99,99,0
1,10171,2,61,0,9,4,2015,5,5,0,4,CR-49,,0,31.10145278,-85.51632778,0,5,5,5,15,88,88,0
1,10172,16,107,0,10,4,2015,6,15,40,4,CR-30,CR-35,0,33.40058333,-88.14174167,0,99,99,16,5,99,99,0
1,10173,5,109,0,11,4,2015,7,23,40,2,US-SR 15,,1185,31.833975,-85.77583333,0,99,99,0,15,99,99,1
1,10174,2,121,0,15,4,2015,4,5,10,3,SR-38,,461,33.11793333,-86.23954167,0,99,99,5,30,88,88,0
1,10175,2,117,0,15,4,2015,4,11,50,3,SR-25,,1257,33.15340556,-86.65777222,0,11,59,12,6,12,53,0
1,10176,1,19,1852,16,4,2015,5,7,20,3,SR-68,HOLMAN ST,0,34.18084444,-85.76155278,0,99,99,7,25,88,88,0
1,10177,4,5,720,16,4,2015,5,20,5,3,SR-10,,1943,31.70562778,-85.59275278,0,99,99,20,40,99,99,0
1,10178,1,73,330,18,4,2015,7,21,49,3,SR-150,,0,33.38305,-86.94081111,0,99,99,21,58,88,88,0
1,10179,2,95,50,18,4,2015,7,10,22,2,US-SR 1,EAST MCKINNEY AVE,2863,34.27261667,-86.19847778,0,99,99,10,30,99,99,0
1,10180,5,21,0,18,4,2015,7,20,25,2,US-SR 6,,1131,32.68974444,-86.79486389,0,20,58,21,5,99,99,0
1,10181,1,15,0,19,4,2015,1,3,25,3,SR-9,,2278,33.760725,-85.69259167,0,88,88,88,88,88,88,0
1,10182,2,115,0,19,4,2015,1,9,0,4,CR-MURPHEES VALLEY RD,OAK GROVE RD,0,33.80746944,-86.48646944,0,9,12,9,37,10,2,0
1,10183,1,47,2760,17,4,2015,6,20,15,2,US-SR 8,,0,32.43308333,-87.04990278,0,20,9,20,19,20,41,0
1,10184,1,43,0,21,4,2015,3,15,0,4,CR-1354,,0,34.26499167,-86.84061944,0,99,99,15,35,88,88,1
1,10185,1,73,330,22,4,2015,4,14,38,3,SR-150,,0,33.39529167,-86.95479167,0,14,38,14,41,88,88,0
1,10186,3,9,0,24,4,2015,6,13,40,4,CR-27,,0,33.90451667,-86.43398333,0,99,99,14,15,99,99,0
1,10187,2,125,0,24,4,2015,6,20,30,4,CR-DAFFRON RD,,0,33.12183611,-87.44465556,0,20,51,21,4,21,20,1
1,10188,4,73,3080,25,4,2015,7,12,50,4,CR-10,,0,33.60119722,-86.57146667,0,99,99,12,56,99,99,1
1,10189,3,71,0,26,4,2015,1,10,30,3,SR-117,,325,34.83090556,-85.76291667,0,10,37,10,48,99,99,0
1,10190,6,13,0,8,4,2015,4,13,30,1,I-65,,1177,31.69793611,-86.7433,0,99,99,13,52,99,99,0
1,10191,2,53,0,25,4,2015,7,4,20,1,I-65,,680,31.19613611,-87.32029167,0,4,50,4,53,99,99,1
1,10192,1,101,2130,28,4,2015,3,8,11,1,I-85,,110,32.36698056,-86.14332222,0,99,99,8,15,88,88,0
1,10193,4,89,0,17,4,2015,6,11,10,4,CR-MAYSVILLE RD,,0,34.78567778,-86.44812778,0,99,99,12,30,99,99,0
1,10194,2,3,1011,17,4,2015,6,18,39,4,CR-20,POMPANO DR,0,30.36303056,-87.59561389,0,99,99,18,52,99,99,1
1,10195,3,73,350,22,4,2015,4,9,36,6,CRESTWOOD BLVD,56TH ST S,0,33.528825,-86.74684444,0,9,39,9,49,10,7,1
1,10196,1,19,0,24,4,2015,6,20,35,4,CR-59,,0,34.07541667,-85.64501944,0,99,99,7,37,88,88,1
1,10197,2,125,3050,25,4,2015,7,20,38,2,US-SR 7,,850,33.17261667,-87.477725,0,20,40,20,41,88,88,1
